playlist_uri,title,description,url
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,ARIA Top 100 Singles of 1970,"Unavailable: Lionel Rose - I Thank You, Mary Hopkin - Knock Knock, Who&#x27;s There?,  Mary Hopkin - Temma Harbour, Jerry Smith - Drivin&#x27; Home, Flying Circus - Run, Run, Run",https://api.spotify.com/v1/playlists/6YKI2VYSO9iZtyaLb3ZUsG
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,ARIA Top 100 Singles of 1971,"Unavailable: Lally Stott - Chirpy Chirpy Cheep Cheep, Axiom - My Baby&#x27;s Gone",https://api.spotify.com/v1/playlists/2P4qsHuiq8iTOKkHk0N5td
spotify:playlist:527BlW4koD42o92YquTbWn,ARIA Top 100 Singles of 1972,"Unavailable: Slim Newton - The Redback On The Toilet Seat, Robin Jolley - Marshall&#x27;s Portable Music Machine, Jamie Redfern - Rainbow On The River&#x2F;We&#x27;ll Meet Again, Don Fardon - Follow Your Drum, The Royal Scots Dragoon Guards - Heyken&#x27;s Second Serenade",https://api.spotify.com/v1/playlists/527BlW4koD42o92YquTbWn
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,ARIA Top 100 Singles of 1973,"Unavailable: Jamie Redfern - Venus, John Farnham - Everything Is Out Of Season",https://api.spotify.com/v1/playlists/5GukqTmf4N5gDtwmkiidHQ
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,ARIA Top 100 Singles of 1974,"Unavailable: Sister Janet Mead - The Lord&#x27;s Prayer, Osmosis - She (Didn&#x27;t Remember My Name), Ernie Sigley &amp; Denise Drysdale - Hey Paula, Creation - Tell Laura I Love Her",https://api.spotify.com/v1/playlists/3GxlQrYDedjZBHZMDEj7ow
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,ARIA Top 100 Singles of 1975,"Unavailable: Bob Hudson - The Newcastle Song, Gene Pitney - Blue Angel, Diana Trask - Oh Boy, Maureen Elkner - Rak Off, Normie!, Telly Savalas - If",https://api.spotify.com/v1/playlists/2EWppXKgzkMqHO0A41vV4f
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,ARIA Top 100 Singles of 1976,"Unavailable: Silver Studs - Happy Days, Shirley - Every Little Bit Hurts, Mark Holden - I Wanna Make You My Lady, Norman Gunston - Salute To Abba, Billy Connolly - D.I.V.O.R.C.E., Maxine Nightingale - Gotta Be The One",https://api.spotify.com/v1/playlists/5MLSOTUEAJjJNxkFf0SZ72
spotify:playlist:5i3AavIAQhagT11NJta6y4,ARIA Top 100 Singles of 1977,"Unavailable: Shirley - Every Little Bit Hurts, Mark Holden - Last Romance",https://api.spotify.com/v1/playlists/5i3AavIAQhagT11NJta6y4
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,ARIA Top 100 Singles of 1978,Unavailable: Cheetah - Walking In The Rain,https://api.spotify.com/v1/playlists/6SeLrThaXtPYWGt71ydXb0
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,ARIA Top 100 Singles of 1979,"Unavailable - Glenn Shorrock - Dream Lover, Paul Evans - Hello, This Is Joannie (The Telephone Answering Machine Song), Kids - Care For Kids",https://api.spotify.com/v1/playlists/3RJDMxxT2WEbSBi7QhLZVT
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,ARIA Top 100 Singles of 1980,"Unavailable: Long John Baldry &amp; Kathi McDonald - You&#x27;ve Lost That Lovin&#x27; Feelin&#x27;, Ritz - Locomotion, The Veterans - There Ain&#x27;t No Age For Rock &#x27;n&#x27; Roll",https://api.spotify.com/v1/playlists/2jJRQb9kK1ascWqMgwMP8t
spotify:playlist:7v5160zeNRgVF9TshKKdrm,ARIA Top 100 Singles of 1981,"Unavailable: Marcia Hines - Your Love Still Brings Me To My Knees, The Quick - Hip, Shake, Jerk!",https://api.spotify.com/v1/playlists/7v5160zeNRgVF9TshKKdrm
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,ARIA Top 100 Singles of 1982,Unavailable: Jo Kennedy - Body And Soul,https://api.spotify.com/v1/playlists/4zxbBleovpMynhj4K8jDQQ
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,ARIA Top 100 Singles of 1983,Unavailable: The Chaps - McRawhide,https://api.spotify.com/v1/playlists/6u9l7pVKu41jvogR8yJO3h
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,ARIA Top 100 Singles of 1984,Unavailable: George Smilovici - I&#x27;m Tuff,https://api.spotify.com/v1/playlists/3oCOd1S0CVKbjlGYmGOhly
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,ARIA Top 100 Singles of 1985,Unavailable: Koo De Tah - Too Young For Promises,https://api.spotify.com/v1/playlists/0kgHtoYJSMS3pMMciC3Us4
spotify:playlist:2lutut73NrLGdbaxUPs4l4,ARIA Top 100 Singles of 1986,"Unavailable: Cliff Richard &amp; The Young Ones feat. Hank Marvin - Living Doll, Boys Don&#x27;t Cry - I Wanna Be A Cowboy, Venetians - So Much For Love, Ric Ocasek - Emotion In Motion",https://api.spotify.com/v1/playlists/2lutut73NrLGdbaxUPs4l4
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,ARIA Top 100 Singles of 1987,"Unavailable: Gino Vannelli - Wild Horses, Michael Bow - Love &amp; Devotion, Wang Chung - Let&#x27;s Go, Carol Hitchcock - Get Ready",https://api.spotify.com/v1/playlists/2oE9VgA9outsqKnF8Ilgda
spotify:playlist:5p6rHlNLpWsxKTt3BNSepz,ARIA Top 100 Singles of 1988,"Unavailable: Morris Minor &amp; The Majors - Stutter Rap (No Sleep Till Bedtime), The Timelords - Doctorin&#x27; The Tardis, The Bangles - Hazy Shade Of Winter, Was (Not Was) - Walk The Dinosaur",https://api.spotify.com/v1/playlists/5p6rHlNLpWsxKTt3BNSepz
spotify:playlist:440FJI2U21t2GPnb7HBG8E,ARIA Top 100 Singles of 1989,"Unavailable: Sinitta - Right Back Where We Started From, Indecent Obsession - Say Goodbye, Max Q - Way Of The World, Kate Ceberano - Love Dimension",https://api.spotify.com/v1/playlists/440FJI2U21t2GPnb7HBG8E
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,ARIA Top 100 Singles of 1990,"Unavailable: Southern Sons - Heart In Danger, Seiko - The Right Combination, Beats International - Dub Be Good To Me, Andrew Ridgeley - Shake, Johnny Diesel &amp; The Injectors - Please Send Me Someone To Love",https://api.spotify.com/v1/playlists/3rGa7t9ETWXUjsRtOjImBT
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,ARIA Top 100 Singles of 1991,"Unavailable: De La Soul - Ring Ring Ring (Ha Ha Hey), P.M. Dawn - Set Adrift On Memory Bliss, Sheena Easton - What Comes Naturally, Gang Starr - Lovesick (Upbeat Mix), Southern Sons - Hold Me In Your Arms, Elisa Fiorillo - On The Way Up, Cathy Dennis - Just Another Dream",https://api.spotify.com/v1/playlists/6ZiC56rxV9Q6UrLBVpTBNJ
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,ARIA Top 100 Singles of 1992,"Unavailable: Euphoria - Love You Right, Radio Freedom - I Can Feel It, Lisa Edwards - Cry, Teen Queens - Be My Baby, Euphoria - One In A Million, Teen Queens - Love How You Love Me, Euphoria - Do For You",https://api.spotify.com/v1/playlists/6kkbrH6FdGfwAZBvJwK1ke
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,ARIA Top 100 Singles of 1993,"Unavailable: Southern Sons - You Were There, Bell Biv DeVoe - Gangsta",https://api.spotify.com/v1/playlists/7gfJSTKHKwlTpG53WPjUvE
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,ARIA Top 100 Singles of 1994,"Unavailable: Prince - The Most Beautiful Girl In The World, Motiv8 - Rockin&#x27; For Myself, Jaki Graham - Ain&#x27;t Nobody",https://api.spotify.com/v1/playlists/2UeM3cfMqlyLBlXU2DQ5G6
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,ARIA Top 100 Singles of 1995,"Unavailable: The Outhere Brothers - Boom Boom Boom (Radio Version), The Steppers - Alice, Who The Fuck Is Alice?, The Outhere Brothers - Don&#x27;t Stop (Wiggle Wiggle) (Townhouse Radio Edit), Arrow - Hot Hot Hot (World Carnival Mix Edit), Divinyls - I&#x27;m Jealous",https://api.spotify.com/v1/playlists/3cH11GTXRfKsYZLwxtOoBG
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,ARIA Top 100 Singles of 1996,"Unavailable: Adam Clayton &amp; Larry Mullen - Theme From Mission: Impossible, The Outhere Brothers - Boom Boom Boom (Radio Version), DJ Darren Briais vs. DJ Peewee Ferris - I Feel It",https://api.spotify.com/v1/playlists/3aa0BZSnymnpDmDg5F0xj2
spotify:playlist:4DFRHzkarDcFShLjnXhkOf,ARIA Top 100 Singles of 1997,"Unavailable: Unique II - Break My Stride, Quindon Tarver - When Doves Cry, Red Hot Chili Peppers - Love Rollercoaster, The Smashing Pumpkins - The End Is The Beginning Is The End",https://api.spotify.com/v1/playlists/4DFRHzkarDcFShLjnXhkOf
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,ARIA Top 100 Singles of 1998,"Unavailable: S.O.A.P. - This Is How We Party &amp; Ladidi Ladida, Pappa Bear feat. Van Der Toorn - Cherish, N.Y.C.C. - Fight For Your Right (To Party), Puff Daddy feat. Jimmy Page - Come With Me, P.M. Dawn - Gotta Be... Movin&#x27; On Up, Aaron Carter - Crush On You, Run-DMC vs. Jason Nevins - It&#x27;s Tricky",https://api.spotify.com/v1/playlists/6Sdw5Z9zHEFMOUX82JIyhy
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,ARIA Top 100 Singles of 1999,"Unavailable: Steps, Tina Cousins, Cleopatra, B*Witched &amp; Billie - Thank Abba For The Music",https://api.spotify.com/v1/playlists/5SA3GPMUdsVL8scMIx5KXc
spotify:playlist:4waAzspl6A8eY3VaNh852a,ARIA Top 100 Singles of 2000,"Unavailable: Madasun - Don&#x27;t You Worry, Fragma - Toca&#x27;s Miracle, Shaft - Mambo Italiano",https://api.spotify.com/v1/playlists/4waAzspl6A8eY3VaNh852a
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,ARIA Top 100 Singles of 2001,"Unavailable: Bob The Builder - Can We Fix It?, Bob The Builder - Mambo No. 5, Gwyneth Paltrow - Bette Davis Eyes, Da Muttz - Wassuup!, Nivea - Don&#x27;t Mess With The Radio",https://api.spotify.com/v1/playlists/1bheZdoQ37UpCVP5dhxL1W
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,ARIA Top 100 Singles of 2002,"Unavailable: Scott Cain - I&#x27;m Moving On, Disco Montego feat. Katie Underwood - Beautiful, The Androids - Do It With Madonna",https://api.spotify.com/v1/playlists/6REeBDRlSE4IZdKfuQAbZO
spotify:playlist:5w6a45GSEs6keXDG6ZDcU7,ARIA Top 100 Singles of 2003,"Unavailable: The Androids - Do It With Madonna, The Saddle Club - Hello World, Australian Idol: The Final 12 - Rise Up",https://api.spotify.com/v1/playlists/5w6a45GSEs6keXDG6ZDcU7
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,ARIA Top 100 Singles of 2004,"Unavailable: J. Wess - What Chu Want, Reg Reagan - Am I Ever Gonna See The Biff Again, Sarah Connor - Bounce (Kayrob Radio Mix), Fantasia - I Believe",https://api.spotify.com/v1/playlists/78ykI5HNLonnyvQ3MgbSiF
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,ARIA Top 100 Singles of 2005,"Unavailable: Schnappi - Schnappi Das Kleine Krokodil, Shannon Noll - Come On Aussie, Come On, The Wrights - Evie Part 1 (Let Your Hair Hang Down), Tamara - Ooh Ahh",https://api.spotify.com/v1/playlists/3N56DG6VPJAiJlItN1UsgV
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,ARIA Top 100 Singles of 2006,,https://api.spotify.com/v1/playlists/4EM6OHusylkUeeOhuwn5nv
spotify:playlist:2LsI85PubbxVrP4wjfagzw,ARIA Top 100 Singles of 2007,,https://api.spotify.com/v1/playlists/2LsI85PubbxVrP4wjfagzw
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,ARIA Top 100 Singles of 2008,Unavailable: #70 Axle Whitehead - I Don&#x27;t Do Surprises,https://api.spotify.com/v1/playlists/6OAk3B9eN0qv6bazX0cVBU
spotify:playlist:1LgwoZrAAEaHN0rH5GUMcs,ARIA Top 100 Singles of 2009,,https://api.spotify.com/v1/playlists/1LgwoZrAAEaHN0rH5GUMcs
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,ARIA Top 100 Singles of 2010,,https://api.spotify.com/v1/playlists/35AzQATJbDOQaLoFIxGhVG
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,ARIA Top 100 Singles of 2011,Unavailable: #92 Ian Carey feat. Bobby Anthony &amp; Snoop Dogg - Last Night,https://api.spotify.com/v1/playlists/6OQxJWSFml74e1IW4PuDmf
spotify:playlist:4YhIyFCyhdwmdfmJHRUtLt,ARIA Top 100 Singles of 2012,,https://api.spotify.com/v1/playlists/4YhIyFCyhdwmdfmJHRUtLt
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,ARIA Top 100 Singles of 2013,,https://api.spotify.com/v1/playlists/0KoVDgDBjozSkzOFtSrrJI
spotify:playlist:7wHqh5aKHywCjpe280PHTB,ARIA Top 100 Singles of 2014,Unavailable: #98 Justin Timberlake - Not A Bad Thing,https://api.spotify.com/v1/playlists/7wHqh5aKHywCjpe280PHTB
spotify:playlist:03vMytYzGsKy1dQkGDdiCp,ARIA TOP 100 Singles of 2015,,https://api.spotify.com/v1/playlists/03vMytYzGsKy1dQkGDdiCp
spotify:playlist:36baBESEC1QQdZ3eBkVatP,ARIA TOP 100 Singles of 2016,,https://api.spotify.com/v1/playlists/36baBESEC1QQdZ3eBkVatP
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,ARIA Top 100 Singles of 2017,,https://api.spotify.com/v1/playlists/6rQW5Caobc5CvNZ8f8cPAP
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,ARIA Top 100 Singles of 2018,,https://api.spotify.com/v1/playlists/7oMkn2Oiwmk5qjMzRCExUi
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,ARIA Top 100 Singles of 2019,,https://api.spotify.com/v1/playlists/5mLdKSsYO0gt69XoWXxTU8
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,Triple J Hottest 100 of 1993,Unavailable: #14 Violent Femmes - I Held Her In My Arms &#x2F; #61 Christine Anu &amp; Paul Kelly - Last Train &#x2F; #63 The Sharp - Scratch My Back &#x2F; #70 Ed Kuepper - Sleepy Head &#x2F; #72 Barefoot - Baby,https://api.spotify.com/v1/playlists/1rijJVPves4OlJEh2Pg1bh
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,Triple J Hottest 100 of 1994,Unavailable: #39 Dave Pike Set - Mathar &#x2F; #50 Tumbleweed - Daddy Long Legs &#x2F; #55 Ed Kuepper - Da Di Doh &#x2F; #62 Pale - Lemon Spark &#x2F; #73 The Sharp - Alone Like Me &#x2F; #95 Def FX - Masses Like Asses,https://api.spotify.com/v1/playlists/1gWoABZiOJUtGgMsHB4gle
spotify:playlist:6N0O3KZi22V9miAwpBwALf,Triple J Hottest 100 of 1995,Unavailable: #51 Def FX - Psychoactive Summer &#x2F; #54 The Vaughans - Who Farted? &#x2F; #77 Severed Heads - Heart Of The Party &#x2F; #87 Yothu Yindi - Jailbreak &#x2F; #98 Hecate - By Myself,https://api.spotify.com/v1/playlists/6N0O3KZi22V9miAwpBwALf
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Triple J Hottest 100 of 1996,Unavailable: #42 Fini Scad - Coppertone &#x2F; #61 Def FX - I&#x27;ll Be Your Majick &#x2F; #73 Hole - Gold Dust Woman &#x2F; #88 The Hunting Party - Grooving &#x2F; #89 Snout - Cromagnon Man &#x2F; #95 Frank Bennett - Creep &#x2F; #96 Matthew Trapnell - Ella&#x27;s Uncle,https://api.spotify.com/v1/playlists/3y0gG2pbKH57b1heWfg9Y7
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,Triple J Hottest 100 of 1997,Unavailable: #5 Pauline Pantsdown - Back Door Man &#x2F; #32 Pendulum - Coma &#x2F; #78 The Mark Of Cain - Degenerate Boy &#x2F; #88 Beaverloop - Nothing,https://api.spotify.com/v1/playlists/6ncH1fiZuRS7MW16OEId8Z
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Triple J Hottest 100 of 1998,Unavailable: #28 Happyland - Don&#x27;t You Know Who I Am? &#x2F; #31 Paul McDermott - Throw Your Arms Around Me &#x2F; #33 Eskimo Joe - Sweater &#x2F; #71 Happyland - Hello,https://api.spotify.com/v1/playlists/16vk4cTY0KN7NprzluHUbn
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Triple J Hottest 100 of 1999,Unavailable: #20 Rhubarb - Exerciser &#x2F; #35 Peter Helliar - Bevan The Musical &#x2F; #39 Eskimo Joe - Turn Up Your Stereo &#x2F; #75 Friendly - Some Kind Of Love Song &#x2F; #95 Public Image Ltd - The Order Of Death (The Blair Witch Mix) &#x2F; #99 Eskimo Joe - Ruby Wednesday,https://api.spotify.com/v1/playlists/0wfOI2xN5nkuySdiAHS4vm
spotify:playlist:6SVFcvkCcVayTawCOeItNl,Triple J Hottest 100 of 2000,Unavailable: #56 Friendly - I Love You But... &#x2F; #97 Klinger - Ben Lee,https://api.spotify.com/v1/playlists/6SVFcvkCcVayTawCOeItNl
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,Triple J Hottest 100 of 2001,Unevailable: #86 Rhubarb - Light On Your Shoulder,https://api.spotify.com/v1/playlists/7kfx1a1dcgNGtNBzKFr2i1
spotify:playlist:0hIiy3ihpzsIX9Dd6RVtWw,Triple J Hottest 100 of 2002,Unavailable: #26 Salmon Hater - 6.66 &#x2F; #51 The Wilcannia Mob - The River &#x2F; #88 The Fergusons - Everything&#x27;s Gone Bad,https://api.spotify.com/v1/playlists/0hIiy3ihpzsIX9Dd6RVtWw
spotify:playlist:6JPpsrpyEhyOHYdhgSCtLo,Triple J Hottest 100 of 2003,Unavailable: #88 Machine Gun Fellatio - Voices In My Head,https://api.spotify.com/v1/playlists/6JPpsrpyEhyOHYdhgSCtLo
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,Triple J Hottest 100 of 2004,Unavailable: #60 Your Wedding Night - Lachlan &#x2F; #73 The Panda Band - Sleepy Little Deathtoll Town,https://api.spotify.com/v1/playlists/4TeWL0KtGDtcSPn6fGotvC
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,Triple J Hottest 100 of 2005,,https://api.spotify.com/v1/playlists/2M4QHNdbHfjvDsIpSmXoZe
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Triple J Hottest 100 of 2006,Unavailable: #70 Ben Folds - Such Great Heights (triple j Like A Version),https://api.spotify.com/v1/playlists/2Pr0bCCA9BqU5gE0vqo1F2
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,Triple J Hottest 100 of 2007,Unavailable: #9 Soko - I&#x27;ll Kill Her &#x2F; #29 Regina Spektor - Real Love (triple j Like A Version),https://api.spotify.com/v1/playlists/6pu78RxcgQjJHgB7lOl16j
spotify:playlist:5s4uIsoM7WOu7LYtWBovfJ,Triple J Hottest 100 of 2008,Unavailable: #41 Soko - I Will Never Love You More &#x2F; #45 Muscles - Ice Cream (triple j Like A Version),https://api.spotify.com/v1/playlists/5s4uIsoM7WOu7LYtWBovfJ
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,Triple J Hottest 100 of 2009,,https://api.spotify.com/v1/playlists/7AMJT1IiIOuIsCTFEOj0Ny
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,Triple J Hottest 100 of 2010,,https://api.spotify.com/v1/playlists/6n0V5p2Fg6aGdlUCsPmxGk
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,Triple J Hottest 100 of 2011,Unavailable: #28 Owl Eyes - Pumped Up Kicks (triple j Like A Version),https://api.spotify.com/v1/playlists/6t8q6o7gAqGyPcPF9qeTHf
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,Triple J Hottest 100 of 2012,Unavailable: #69 Matt Corby - Lonely Boy (triple j Like A Version) &#x2F; #91 Allday x C1 - So Good,https://api.spotify.com/v1/playlists/1EtQXnrB4C7X3kRWA7M8uH
spotify:playlist:3vpoPgaqjkxU75ZurgCI9x,Triple J Hottest 100 of 2013,Unavailable: #68 Something For Kate - Sweet Nothing (triple j Like A Version),https://api.spotify.com/v1/playlists/3vpoPgaqjkxU75ZurgCI9x
spotify:playlist:6tGy4OZBRfcZWg8EokHlXj,Triple J Hottest 100 of 2014,Unavailable: #47 Lorde - Tennis Court (Flume Remix) &#x2F; #91 Meg Mac - Bridges (triple j Like A Version),https://api.spotify.com/v1/playlists/6tGy4OZBRfcZWg8EokHlXj
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,Triple J Hottest 100 of 2015,"Unavailable: Tuka - Big Jet Plane (triple j Like A Version), Sticky Fingers - Delete (triple j Like A Version)",https://api.spotify.com/v1/playlists/2OwF9XXEngvETxXYxy0tAw
spotify:playlist:13cp3UmqhPdpTvXs6z04IP,Triple J Hottest 100 of 2016,Unavailable: #52 Halsey - Love Yourself (triple j Like A Version) &#x2F; #56 Paces feat. Guy Sebastian - Keeping Score (triple j Like A Version),https://api.spotify.com/v1/playlists/13cp3UmqhPdpTvXs6z04IP
spotify:playlist:5pDQykkvS8yZ8RqTOEOcTM,Triple J Hottest 100 of 2017,Unavailable: #41 Gang Of Youths - Blood (triple j Like A Version) &#x2F; #88 Paul Dempsey - Edge Of Town (triple j Like A Version),https://api.spotify.com/v1/playlists/5pDQykkvS8yZ8RqTOEOcTM
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Triple J Hottest 100 of 2018,Unevailable: #72 Nothing But Thieves - What Can I Do If The Fire Goes Out (triple j Like A Version),https://api.spotify.com/v1/playlists/2AMxI8ueEFRJtCf2nU7aYP
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Triple J Hottest 100 of 2019,,https://api.spotify.com/v1/playlists/2fvJzgA7Sajgj8tjPxvFQK
